in_rxnorm_cui,rxnorm_cui,name,tty,source,dose,unit,mme_factor
480,479,Alfenta,BN,rxnav,,,NULL
480,480,Alfentanil,IN,rxnav,,,NULL
1819,1818,Subutex,BN,rxnav,,,NULL
1819,1819,Buprenorphine,IN,rxnav,,,NULL
1841,1841,Butorphanol,IN,rxnav,,,7
2670,2670,Codeine,IN,rxnav,,,0.15
2670,2672,Codeine Phosphate,PIN,rxnav,,,0.15
3423,3423,Hydromorphone,IN,rxnav,,,4
4337,4336,Sublimaze,BN,rxnav,,,NULL
4337,4337,Fentanyl,IN,rxnav,,,NULL
5489,5489,Hydrocodone,IN,rxnav,,,1
6378,6378,Levorphanol,IN,rxnav,,,11
6754,6754,Meperidine,IN,rxnav,,,0.1
6813,6813,Methadone,IN,rxnav,,,NULL
7052,7052,Morphine,IN,rxnav,,,1
7238,7238,Nalbuphine,IN,rxnav,,,NULL
7676,7676,Opium,IN,rxnav,,,1
7804,7804,Oxycodone,IN,rxnav,,,1.5
7814,7814,Oxymorphone,IN,rxnav,,,3
8001,8001,Pentazocine,IN,rxnav,,,0.37
8001,8002,Talwin,BN,rxnav,,,0.37
8785,8785,Propoxyphene,IN,rxnav,,,NULL
8785,8786,propoxyphene napsylate,PIN,rxnav,,,NULL
10689,10689,Tramadol,IN,rxnav,,,0.1
23088,23088,dihydrocodeine,IN,rxnav,,,0.25
7052,30236,Morphine Sulfate,PIN,rxnav,,,1
7804,42844,Percocet,BN,rxnav,,,1.5
8785,48274,Acetaminophen / Propoxyphene,MIN,rxnav,,,NULL
4337,49991,Droperidol / Fentanyl,MIN,rxnav,,,NULL
56795,56795,Sufentanil,IN,rxnav,,,NULL
56795,58964,Sufentanil Citrate,PIN,rxnav,,,NULL
8785,71517,Propoxyphene Hydrochloride,PIN,rxnav,,,NULL
73032,73032,remifentanil,IN,rxnav,,,NULL
237005,82043,Levomethadyl Acetate Hydrochloride,PIN,rxnav,,,NULL
7804,82063,Oxycodone Hydrochloride,PIN,rxnav,,,1.5
7814,82064,Oxymorphone Hydrochloride,PIN,rxnav,,,3
10689,82110,tramadol hydrochloride,PIN,rxnav,,,0.1
2670,91104,Codeine sulfate,PIN,rxnav,,,0.15
8785,92328,Darvon-N,BN,rxnav,,,NULL
2670,93566,Nucofed Expectorant,BN,rxnav,,,0.15
6754,103755,Meperidine Hydrochloride,PIN,rxnav,,,0.1
23088,104966,dihydrocodeine bitartrate,PIN,rxnav,,,0.25
8001,104973,Pentazocine Hydrochloride,PIN,rxnav,,,0.37
7052,106841,Morphine Oral Solution,SCDF,rxnav,,,1
5489,128793,Vicodin,BN,rxnav,,,1
2670,135095,Aspirin / Codeine,MIN,rxnav,,,0.15
4337,142436,Fentanyl Citrate,PIN,rxnav,,,NULL
5489,142439,Hydrocodone Bitartrate,PIN,rxnav,,,1
5489,144254,Lortab,BN,rxnav,,,1
23088,151196,Acetaminophen / dihydrocodeine,MIN,rxnav,,,0.25
4337,151678,Duragesic,BN,rxnav,,,NULL
5489,151875,Hydromet,BN,rxnav,,,1
6813,152751,Methadose,BN,rxnav,,,NULL
73032,153379,Ultiva,BN,rxnav,,,NULL
