PX,PX_TYPE
11000,CH
11005,CH
11006,CH
11010,CH
11011,CH
11012,CH
11043,CH
11044,CH
11760,CH
11762,CH
11770,CH
11771,CH
11772,CH
11960,CH
11970,CH
11971,CH
13150,CH
13160,CH
14000,CH
14001,CH
14020,CH
14021,CH
14040,CH
14041,CH
14060,CH
14061,CH
14300,CH
14301,CH
14350,CH
15040,CH
15050,CH
15100,CH
15110,CH
15115,CH
15120,CH
15130,CH
15135,CH
15150,CH
15155,CH
15170,CH
15175,CH
15200,CH
15220,CH
15240,CH
15260,CH
15271,CH
15273,CH
15275,CH
15277,CH
15300,CH
15320,CH
15330,CH
15335,CH
15340,CH
15360,CH
15365,CH
15400,CH
15420,CH
15430,CH
15570,CH
15572,CH
15574,CH
15576,CH
15600,CH
15610,CH
15620,CH
15630,CH
15650,CH
15731,CH
15732,CH
15734,CH
15736,CH
15738,CH
15740,CH
15750,CH
15756,CH
15757,CH
15758,CH
15760,CH
15770,CH
15819,CH
15824,CH
15825,CH
15826,CH
15828,CH
15829,CH
15830,CH
15831,CH
15832,CH
15833,CH
15834,CH
15835,CH
15836,CH
15837,CH
15838,CH
15839,CH
15840,CH
15841,CH
15842,CH
15845,CH
15876,CH
15877,CH
15878,CH
15879,CH
15920,CH
15922,CH
15931,CH
15933,CH
15934,CH
15935,CH
15936,CH
15937,CH
15940,CH
15941,CH
15944,CH
15945,CH
15946,CH
15950,CH
15951,CH
15952,CH
15953,CH
15956,CH
15958,CH
17311,CH
17313,CH
19020,CH
19110,CH
19112,CH
19120,CH
19125,CH
19140,CH
19160,CH
19162,CH
19180,CH
19182,CH
19200,CH
19220,CH
19240,CH
19260,CH
19271,CH
19272,CH
19300,CH
19301,CH
19302,CH
19303,CH
19304,CH
19305,CH
19306,CH
19307,CH
19316,CH
19318,CH
19324,CH
19325,CH
19328,CH
19330,CH
19340,CH
19342,CH
19350,CH
19355,CH
19357,CH
19361,CH
19364,CH
19366,CH
19367,CH
19368,CH
19369,CH
19370,CH
19371,CH
19380,CH
20005,CH
20100,CH
20101,CH
20102,CH
20103,CH
20150,CH
20661,CH
20664,CH
20670,CH
20680,CH
20690,CH
20692,CH
20693,CH
20694,CH
20696,CH
20697,CH
20802,CH
20805,CH
20808,CH
20816,CH
20822,CH
20824,CH
20827,CH
20838,CH
20900,CH
20902,CH
20910,CH
20912,CH
20920,CH
20922,CH
20924,CH
20926,CH
20955,CH
20956,CH
20957,CH
20962,CH
20969,CH
20970,CH
20972,CH
20973,CH
20975,CH
21010,CH
21013,CH
21014,CH
21015,CH
21016,CH
21025,CH
21026,CH
21029,CH
21030,CH
21031,CH
21032,CH
21034,CH
21040,CH
21044,CH
21045,CH
21046,CH
21047,CH
21048,CH
21049,CH
21050,CH
21060,CH
21070,CH
21120,CH
21121,CH
21122,CH
21123,CH
21125,CH
21127,CH
21137,CH
21138,CH
21139,CH
21141,CH
21142,CH
21143,CH
21145,CH
21146,CH
21147,CH
21150,CH
21151,CH
21154,CH
21155,CH
21159,CH
21160,CH
21172,CH
21175,CH
21179,CH
21180,CH
21181,CH
21182,CH
21183,CH
21184,CH
21188,CH
21193,CH
21194,CH
21195,CH
21196,CH
